698 79.2028
JAR_0 73 50.36904
JAR_1 119 16.220009
JAR_2 29 38.845524
JAR_3 35 38.469143
JAR_4 21 19.296001
JAR_5 57 36.70696
JAR_6 39 28.35589
JAR_7 61 28.829245
JAR_8 33 15.859414
JAR_9 98 14.910269
JAR_10 49 15.177632
JAR_11 99 15.685382
JAR_12 68 50.065136
JAR_13 72 10.103689
JAR_14 110 44.33617
JAR_15 96 28.277067
JAR_16 119 19.577637
JAR_17 39 41.0026
JAR_18 58 40.14651
JAR_19 51 7.2895575
JAR_20 28 2.3921301
JAR_21 99 34.57913
JAR_22 118 29.990145
JAR_23 21 47.305424
JAR_24 113 5.3741245
JAR_25 70 7.909623
JAR_26 79 51.703312
JAR_27 111 49.985577
JAR_28 54 12.110573
JAR_29 77 47.204952
JAR_30 69 30.13329
JAR_31 85 51.442616
JAR_32 90 6.441722
JAR_33 94 20.098907
JAR_34 103 23.844362
JAR_35 98 37.694435
JAR_36 99 19.96783
JAR_37 38 47.395187
JAR_38 83 24.580067
JAR_39 106 24.310923
JAR_40 69 8.149887
JAR_41 26 3.098314
JAR_42 91 43.913418
JAR_43 114 9.291683
JAR_44 93 39.348473
JAR_45 111 17.978893
JAR_46 73 3.141682
JAR_47 85 36.637676
JAR_48 24 11.469892
JAR_49 83 24.648577
JAR_50 39 32.60742
JAR_51 93 5.304631
JAR_52 101 21.813742
JAR_53 102 37.24516
JAR_54 107 3.9523597
JAR_55 111 50.951138
JAR_56 96 14.84103
JAR_57 75 50.15316
JAR_58 61 4.435796
JAR_59 67 32.219345
JAR_60 92 13.007013
JAR_61 20 43.310326
JAR_62 120 38.174133
JAR_63 102 51.91109
JAR_64 42 42.727856
JAR_65 66 30.175385
JAR_66 24 22.183228
JAR_67 108 6.1473956
JAR_68 98 8.975296
JAR_69 78 45.957504
JAR_70 95 29.330143
JAR_71 48 14.924229
JAR_72 105 41.318424
JAR_73 25 37.832806
JAR_74 109 24.925985
JAR_75 76 9.302371
JAR_76 90 51.556725
JAR_77 114 42.09834
JAR_78 104 49.41646
JAR_79 97 46.494328
JAR_80 113 26.113543
JAR_81 48 20.038883
JAR_82 20 16.951744
JAR_83 54 12.836165
JAR_84 28 24.184076
JAR_85 115 19.607038
JAR_86 118 5.3424106
JAR_87 30 3.7571356
JAR_88 100 45.357067
JAR_89 79 9.041883
JAR_90 28 27.632927
JAR_91 88 15.085021
JAR_92 49 45.854317
JAR_93 56 23.876698
JAR_94 63 32.549454
JAR_95 92 3.9500597
JAR_96 55 36.25718
JAR_97 88 50.411076
JAR_98 49 21.803568
JAR_99 99 5.2753477
JAR_100 108 52.514145
JAR_101 31 4.9478416
JAR_102 69 31.158516
JAR_103 96 2.6666212
JAR_104 92 10.048697
JAR_105 59 27.02017
JAR_106 57 42.789684
JAR_107 120 34.839294
JAR_108 68 27.911549
JAR_109 107 35.15927
JAR_110 43 11.895891
JAR_111 100 5.5456586
JAR_112 56 27.246405
JAR_113 32 20.278057
JAR_114 57 49.443165
JAR_115 98 11.590106
JAR_116 52 37.463406
JAR_117 64 50.871166
JAR_118 45 46.247635
JAR_119 49 15.64531
JAR_120 34 40.039383
JAR_121 54 3.0567558
JAR_122 57 37.12918
JAR_123 113 11.907217
JAR_124 22 39.489063
JAR_125 69 16.01043
JAR_126 92 51.69248
JAR_127 86 49.95175
JAR_128 120 37.876366
JAR_129 80 18.566692
JAR_130 23 6.617091
JAR_131 67 7.9811425
JAR_132 36 12.459952
JAR_133 28 20.088345
JAR_134 51 1.9632455
JAR_135 35 45.472717
JAR_136 73 8.8921175
JAR_137 91 50.02919
JAR_138 29 11.724903
JAR_139 101 10.468114
JAR_140 28 13.515229
JAR_141 69 28.540451
JAR_142 77 23.686823
JAR_143 48 39.665756
JAR_144 36 50.62481
JAR_145 62 17.196266
JAR_146 80 3.5672064
JAR_147 64 36.60449
JAR_148 67 39.993404
JAR_149 113 29.238712
JAR_150 28 45.952595
JAR_151 30 35.251286
JAR_152 40 40.074425
JAR_153 35 27.96766
JAR_154 48 10.056644
JAR_155 119 32.03091
JAR_156 34 27.43001
JAR_157 62 36.525944
JAR_158 29 3.1594305
JAR_159 21 36.7604
JAR_160 78 17.352177
JAR_161 57 38.65515
JAR_162 63 9.408905
JAR_163 105 28.476276
JAR_164 86 9.671269
JAR_165 94 29.722502
JAR_166 115 52.491177
JAR_167 64 27.967422
JAR_168 57 26.070946
JAR_169 112 25.844133
JAR_170 26 36.301212
JAR_171 24 49.951412
JAR_172 33 5.053791
JAR_173 60 5.6552477
JAR_174 113 10.870653
JAR_175 116 18.457272
JAR_176 22 51.726715
JAR_177 22 28.602457
JAR_178 83 33.33434
JAR_179 102 49.60255
JAR_180 101 13.400276
JAR_181 83 16.958765
JAR_182 20 37.742195
JAR_183 62 31.077536
JAR_184 67 32.42105
JAR_185 51 35.38653
JAR_186 102 37.74815
JAR_187 50 5.4745784
JAR_188 109 46.881237
JAR_189 84 16.59885
JAR_190 114 24.332674
JAR_191 66 4.6253586
JAR_192 98 18.874565
JAR_193 58 49.0947
JAR_194 28 10.840634
JAR_195 25 46.934025
JAR_196 33 15.192734
JAR_197 84 47.268272
JAR_198 39 23.541058
JAR_199 118 47.819065
JAR_200 99 47.681427
JAR_201 66 48.117878
JAR_202 45 2.6404753
JAR_203 78 21.801828
JAR_204 92 3.7001324
JAR_205 46 31.804792
JAR_206 61 1.9064784
JAR_207 20 44.204563
JAR_208 51 9.954857
JAR_209 88 22.937458
JAR_210 91 10.583122
JAR_211 95 17.54588
JAR_212 99 46.79787
JAR_213 92 11.081439
JAR_214 74 16.60482
JAR_215 84 18.746515
JAR_216 46 2.7136712
JAR_217 47 11.320473
JAR_218 101 19.540386
JAR_219 42 15.383308
JAR_220 55 37.735245
JAR_221 53 34.219074
JAR_222 71 22.323822
JAR_223 44 9.254255
JAR_224 50 8.759811
JAR_225 73 3.8620353
JAR_226 108 43.65355
JAR_227 92 36.742554
JAR_228 107 5.758195
JAR_229 106 34.571213
JAR_230 92 51.866684
JAR_231 97 32.5925
JAR_232 78 7.996906
JAR_233 85 2.0250375
JAR_234 49 41.71999
JAR_235 54 38.235184
JAR_236 30 16.717148
JAR_237 33 24.931084
JAR_238 111 26.634209
JAR_239 54 17.4268
JAR_240 101 32.839844
JAR_241 46 49.127117
JAR_242 46 39.583317
JAR_243 95 42.487514
JAR_244 93 30.590824
JAR_245 73 22.011005
JAR_246 111 43.435448
JAR_247 116 36.953773
JAR_248 72 39.46536
JAR_249 119 3.4248862
JAR_250 89 23.477034
JAR_251 53 17.481932
JAR_252 42 49.376095
JAR_253 94 33.643982
JAR_254 98 34.676865
JAR_255 71 46.466095
JAR_256 92 30.953644
JAR_257 73 2.3454332
JAR_258 92 40.371693
JAR_259 46 43.058056
JAR_260 65 16.693848
JAR_261 53 31.75759
JAR_262 100 7.480004
JAR_263 98 23.502256
JAR_264 76 47.570965
JAR_265 109 1.9150816
JAR_266 52 17.975607
JAR_267 82 20.723608
JAR_268 78 7.7608523
JAR_269 93 39.370125
JAR_270 110 15.2777
JAR_271 109 23.2311
JAR_272 72 49.843296
JAR_273 32 7.335419
JAR_274 82 48.23903
JAR_275 41 29.72508
JAR_276 86 17.177668
JAR_277 110 49.459015
JAR_278 110 41.438786
JAR_279 88 20.82109
JAR_280 84 27.870975
JAR_281 35 45.656593
JAR_282 43 31.411886
JAR_283 89 21.228151
JAR_284 76 37.082542
JAR_285 55 6.5514884
JAR_286 35 25.771297
JAR_287 74 28.144384
JAR_288 38 3.434366
JAR_289 34 8.797874
JAR_290 51 40.105
JAR_291 38 4.857878
JAR_292 74 40.92135
JAR_293 27 30.58752
JAR_294 31 8.254252
JAR_295 39 48.76565
JAR_296 54 1.8405404
JAR_297 120 8.165468
JAR_298 94 43.904842
JAR_299 52 35.048653
JAR_300 39 52.383507
JAR_301 88 36.60505
JAR_302 39 5.2478724
JAR_303 107 50.76565
JAR_304 65 19.160988
JAR_305 50 35.317623
JAR_306 104 46.191807
JAR_307 99 22.853918
JAR_308 28 17.353962
JAR_309 57 7.097433
JAR_310 76 2.9323728
JAR_311 63 34.3496
JAR_312 37 10.510312
JAR_313 71 31.62697
JAR_314 56 43.211975
JAR_315 33 14.465657
JAR_316 80 17.531141
JAR_317 46 19.293213
JAR_318 52 42.32525
JAR_319 27 14.690276
JAR_320 43 27.61598
JAR_321 73 33.490166
JAR_322 118 36.252422
JAR_323 50 38.693634
JAR_324 86 30.560944
JAR_325 74 1.7080922
JAR_326 77 11.127077
JAR_327 91 48.255913
JAR_328 34 18.329046
JAR_329 65 8.334764
